word,value
fictitious,-5
fidget,-5
fidgety,-5
fiend,-5
fiendish,-5
fierce,-5
figurehead,-5
filth,-5
filthy,-5
finagle,-5
finicky,-5
fissures,-5
fist,-5
flabbergast,-5
flabbergasted,-5
flagging,-5
flagrant,-5
flagrantly,-5
flair,-5
flairs,-5
flak,-5
flake,-5
flakey,-5
flakieness,-5
flaking,-5
flaky,-5
flare,-5
flares,-5
flareup,-5
flareups,-5
flat-out,-5
flaunt,-5
flaw,-5
flawed,-5
flaws,-5
flee,-5
fleed,-5
fleeing,-5
fleer,-5
flees,-5
fleeting,-5
flicering,-5
flicker,-5
flickering,-5
flickers,-5
flighty,-5
flimflam,-5
flimsy,-5
flirt,-5
flirty,-5
floored,-5
flounder,-5
floundering,-5
flout,-5
fluster,-5
foe,-5
fool,-5
fooled,-5
foolhardy,-5
foolish,-5
foolishly,-5
foolishness,-5
forbid,-5
forbidden,-5
forbidding,-5
forceful,-5
foreboding,-5
forebodingly,-5
forfeit,-5
forged,-5
forgetful,-5
forgetfully,-5
forgetfulness,-5
forlorn,-5
forlornly,-5
forsake,-5
forsaken,-5
forswear,-5
foul,-5
foully,-5
foulness,-5
fractious,-5
fractiously,-5
fracture,-5
fragile,-5
fragmented,-5
frail,-5
frantic,-5
frantically,-5
franticly,-5
fraud,-5
fraudulent,-5
fraught,-5
frazzle,-5
frazzled,-5
freak,-5
freaking,-5
freakish,-5
freakishly,-5
freaks,-5
freeze,-5
freezes,-5
freezing,-5
frenetic,-5
frenetically,-5
frenzied,-5
frenzy,-5
fret,-5
fretful,-5
frets,-5
friction,-5
frictions,-5
fried,-5
friggin,-5
frigging,-5
fright,-5
frighten,-5
frightening,-5
frighteningly,-5
frightful,-5
frightfully,-5
frigid,-5
frost,-5
frown,-5
froze,-5
frozen,-5
fruitless,-5
fruitlessly,-5
frustrate,-5
frustrated,-5
frustrates,-5
frustrating,-5
frustratingly,-5
frustration,-5
frustrations,-5
fuck,-5
fucking,-5
fudge,-5
fugitive,-5
full-blown,-5
fulminate,-5
fumble,-5
fume,-5
fumes,-5
fundamentalism,-5
funky,-5
funnily,-5
funny,-5
furious,-5
furiously,-5
furor,-5
fury,-5
fuss,-5
fussy,-5
fustigate,-5
fusty,-5
futile,-5
futilely,-5
futility,-5
fuzzy,-5
gabble,-5
gaff,-5
gaffe,-5
gainsay,-5
gainsayer,-5
gall,-5
galling,-5
gallingly,-5
galls,-5
gangster,-5
gape,-5
garbage,-5
garish,-5
gasp,-5
gauche,-5
gaudy,-5
gawk,-5
gawky,-5
geezer,-5
genocide,-5
get-rich,-5
ghastly,-5
ghetto,-5
ghosting,-5
gibber,-5
gibberish,-5
gibe,-5
giddy,-5
gimmick,-5
gimmicked,-5
gimmicking,-5
gimmicks,-5
gimmicky,-5
glare,-5
glaringly,-5
glib,-5
glibly,-5
glitch,-5
glitches,-5
gloatingly,-5
gloom,-5
gloomy,-5
glower,-5
glum,-5
glut,-5
gnawing,-5
goad,-5
goading,-5
god-awful,-5
goof,-5
goofy,-5
goon,-5
gossip,-5
graceless,-5
gracelessly,-5
graft,-5
grainy,-5
grapple,-5
grate,-5
grating,-5
gravely,-5
greasy,-5
greed,-5
greedy,-5
grief,-5
grievance,-5
grievances,-5
grieve,-5
grieving,-5
grievous,-5
grievously,-5
grim,-5
grimace,-5
grind,-5
gripe,-5
gripes,-5
grisly,-5
